"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"Dallas Regional Science & Engineering Fair","Econ","In-Person","USA","Regional","2026-02-28","The Dallas Regional fair is one of the most competitive and well-funded regional fairs in the Texas ISEF pipeline. It is prestigious for its association with Beal Bank and Southern Methodist University, attracting top-tier research from the DFW metroplex. Winners here earn the coveted opportunity to compete at the state and international levels.","Poster presentation -> Judging Interviews -> Awards Ceremony.","Grades 6-12 in Dallas area.","1. Register project with local fair by deadline. 2. Complete SRC/IRB approvals. 3. Present project at Fair Park in February.","science|ISEF|fair|Dallas|BealBank","https://dallassciencefair.org/","https://dallassciencefair.org/"
"Texas State Science & Engineering Fair (TXSEF)","Econ","In-Person","USA","State","2026-03-27","TXSEF is a massive gathering of the state's brightest young researchers at Texas A&M University. It is prestigious for its high difficulty and large prize pool, acting as the final hurdle for many students aiming for ISEF qualification. The fair reflects the state's significant investment in STEM education and high-level research infrastructure.","Regional Qualification -> State Poster Defense -> Grand Prize Judging.","Grades 6-12; Qualification via affiliated Texas regional fair.","1. Place in top tier at regional fair. 2. Complete state registration by March deadline. 3. Present in College Station.","science|fair|Texas|ISEF|TAMU","https://txsef.tamu.edu/","https://txsef.tamu.edu/"
"Georgia Science & Engineering Fair","Econ","In-Person","USA","State","2026-03-26","The Georgia Science & Engineering Fair is the state's premier forum for middle and high school students to present original research. It is prestigious for its long-standing history and its role in selecting the state's delegation for the International Science Fair. The event provides students with feedback from university professors and industry professionals.","Regional Fair -> State Competition (Athens, GA).","Grades 6-12; Qualification via Georgia regional fair.","1. Win at a regional GSEF-affiliated fair. 2. Submit state-level paperwork. 3. Attend competition at UGA in March.","science|fair|Georgia|ISEF|UGA","https://www.georgiacenter.uga.edu/gsef","https://www.georgiacenter.uga.edu/gsef"
"Florida State Science & Engineering Fair (SSEF)","Econ","In-Person","USA","State","2026-03-31","SSEF Florida is a highly prestigious event that showcases the research of over 900 students from across the state. It is interesting for its high concentration of aerospace and marine biology projects, reflecting Florida's unique economic sectors. Winners are awarded significant scholarships and the chance to represent Florida at ISEF.","Regional Qualification -> State Poster Defense (Lakeland, FL).","Grades 6-12; Qualification via Florida regional fair.","1. Qualify through one of Florida's regional fairs. 2. Submit final abstract and certification. 3. Present project in Lakeland.","science|fair|Florida|ISEF|scholarships","https://ssefflorida.com/","https://ssefflorida.com/"
"New York State Science & Engineering Fair (NYSSEF)","Econ","Hybrid","USA","State","2026-01-23","NYSSEF is the primary gateway for New York students to reach the International Science and Engineering Fair. It is prestigious for its high academic standards and its two-round system, which utilizes virtual video judging to ensure a broad reach across the state. The in-person finals bring together the elite top scorers for a final defense.","Round 1 (Virtual Video) -> Round 2 (In-person Finals at Queens Hall of Science).","Grades 9-12; New York State residents.","1. Register project online by Jan 23. 2. Upload video presentation by Jan 30. 3. Attend in-person finals on March 30.","science|fair|NewYork|ISEF|hybrid","https://www.nyssef.org/","https://www.nyssef.org/"
"Mass State Science & Engineering Fair (HS)","Econ","In-Person","USA","State","2026-04-09","The Massachusetts State Science Fair for High School students is held at MIT, providing one of the most academically rigorous environments in the country. It is prestigious for its deep connections to the Cambridge biotech and tech hubs, with many judges being industry leaders or MIT faculty. Success here is a definitive signal of high-level research capability in the STEM world.","Regional Fair -> State Fair (MIT, Cambridge).","High school students in Massachusetts.","1. Win at a regional Massachusetts fair. 2. Register with MSEF state office. 3. Present project at MIT in April.","science|fair|Massachusetts|MIT|biotech","https://scifair.com/","https://scifair.com/"
"JSHS Illinois Regional","Econ","Hybrid","USA","Regional","2026-01-21","The Junior Science and Humanities Symposium in Illinois focuses on the oral presentation of original student research, mimicking a professional scientific conference. It is prestigious for its focus on communication and formal peer review, with winners advancing to the National JSHS. Participating students gain significant experience in academic defense and public speaking.","Paper Submission -> Oral Presentation (12 min) + Q&A (6 min).","High school students in Illinois.","1. Register and submit abstract by Jan 21. 2. If selected, prepare full paper. 3. Present at SIU on Feb 21-22.","science|JSHS|Illinois|research|speaking","https://stemedresearch.siu.edu/ijshs/","https://stemedresearch.siu.edu/ijshs/"
"JSHS Northern New England","Econ","In-Person","USA","Regional","2026-01-01","The Northern New England JSHS brings together the best student researchers from Maine, New Hampshire, and Vermont. It is prestigious for being one of the oldest regional symposia in the program, offering students the chance to compete for undergraduate tuition scholarships. The event highlights the diverse environmental and engineering research prevalent in the region.","Abstract Submission -> Symposium Defense (U-Maine).","High school students in ME, NH, and VT.","1. Submit abstract and paper via the JSHS portal. 2. Receive invitation to symposium. 3. Present work on February 27.","science|JSHS|Maine|Vermont|NewHampshire","https://umaine.edu/jshs-nne/","https://umaine.edu/jshs-nne/"
"JSHS Connecticut Regional","Econ","In-Person","USA","Regional","2026-02-12","The Connecticut JSHS, held at UConn Health, is a premier showcase for the state's top high school research projects. It is prestigious for its emphasis on clinical research and biotechnology, given its location at a major medical university. Winners advance to the National JSHS and receive significant scholarship awards.","Paper Submission -> Poster Session -> Oral Presentation.","High school students in Connecticut.","1. Register online in the autumn. 2. Submit final abstract by Feb 12. 3. Attend symposium at UConn on Feb 28.","science|JSHS|Connecticut|UConn|biotech","https://health.uconn.edu/","https://health.uconn.edu/"
"Brain Bee Atlanta Regional","Econ","In-Person","USA","Regional","2026-02-01","The Atlanta Regional Brain Bee is a high-stakes competition focused on neuroscience, hosted by Emory University. It is prestigious for its connection to world-class neurology research and its role in selecting the regional representative for the USA National Brain Bee. Students must master complex brain anatomy, physiology, and pathology.","Written Quiz -> Oral Buzzer Round -> Anatomy Identification.","High school students in the Atlanta metro area.","1. Register via Eventbrite or Emory portal. 2. Study the 'Brain Facts' guide. 3. Compete in March at Emory.","biology|neuroscience|Atlanta|Emory|brain-bee","https://www.eventbrite.com/","https://atlanta-brain-bee.com/"
"Brain Bee Bay Area","Econ","In-Person","USA","Regional","2026-03-01","The Bay Area Brain Bee is one of the nation's largest neuroscience competitions, held in the heart of the global biotech hub. It is prestigious for drawing competitors from Silicon Valley's top schools and its collaboration with UC Berkeley or Stanford faculty. Winners earn the right to compete at the National Brain Bee and gain exposure to the neuro-tech industry.","Written Round -> Oral Elimination Round.","High school students in the San Francisco Bay Area.","1. Register via the official Weebly site. 2. Review neuroscience curricula. 3. Attend the April event in San Francisco.","biology|neuroscience|BayArea|SiliconValley|brain-bee","https://bayareabrainbee.weebly.com/","https://bayareabrainbee.weebly.com/"
"USA National Brain Bee","Econ","In-Person","USA","National","2026-04-25","The USA National Brain Bee is the ultimate destination for the nation's best young neuroscientists, held at UC Irvine. It is prestigious for its high difficulty, requiring students to diagnose simulated patients and identify real human brain samples. The winner represents the United States at the International Brain Bee.","Patient Diagnosis -> Anatomy Lab -> Written Exam -> Oral Round.","Regional Brain Bee winners.","1. Win an affiliated regional brain bee. 2. Receive invitation for nationals. 3. Travel to UC Irvine in April.","biology|neuroscience|national|UCIrvine|brain-bee","https://usabrainbee.com/","https://usabrainbee.com/"
"University of Toronto National Biology Competition (NBC)","Econ","Online","Global","International","2026-03-15","The Toronto NBC is Canada's premier biology competition and is open to international students, making it a major North American benchmark. It is prestigious for offering scholarships to the University of Toronto, one of the world's top research institutions. The exam is known for its rigorous coverage of ecology, genetics, and cell biology.","50 multiple-choice questions in 75 minutes.","High school students globally.","1. Register through a school or test center. 2. Pay registration fee. 3. Take online exam on April 8.","biology|Toronto|scholarship|international","https://biocomp.utoronto.ca/","https://biocomp.utoronto.ca/"
"Chem 13 News Exam","Econ","Online","Global","International","2026-04-24","The Chem 13 News Exam is a prestigious chemistry competition hosted by the University of Waterloo for Grade 12 students. it is interesting for its high difficulty, often exceeding the standard high school curriculum to challenge the best chemistry minds in North America. Top performers are recognized globally and are highly sought after by university science departments.","40 multiple-choice questions in 75 minutes.","Grade 12 students (or equivalent).","1. Register through your school by April 24. 2. Pay the exam fee. 3. Take the exam online on May 7.","chemistry|Waterloo|Grade12|competition","https://uwaterloo.ca/chem13news/","https://uwaterloo.ca/chem13news/"
"Avogadro Exam","Econ","Online","Global","International","2026-05-01","The Avogadro Exam is the University of Waterloo's flagship chemistry contest for Grade 11 students. It is prestigious for its emphasis on the foundational concepts of chemistry and is widely used as a benchmark for student placement in advanced courses. The exam's large scale and rigorous standards make it a key indicator of early scientific potential.","40 multiple-choice questions in 75 minutes.","Grade 11 students (or equivalent).","1. School registers students by May 1. 2. Receive login credentials. 3. Take the exam on May 14.","chemistry|Waterloo|Grade11|foundation","https://uwaterloo.ca/","https://uwaterloo.ca/"
"Purple Comet! Math Meet (Middle School)","Econ","Online","Global","International","2026-04-01","The middle school division of the Purple Comet! Math Meet offers younger students a flexible, high-level international team competition. It is prestigious for its community-building aspect, as it is free and allows schools of all sizes to participate globally. The problems are designed to challenge team logic and collaboration in a high-pressure, timed online environment.","Team round: 20 questions in 60 minutes.","Middle school students; Teams of up to 6.","1. Teacher registers team for free. 2. Select 60-minute window during April. 3. Submit team answers via portal.","math|middle-school|team|free|global","https://purplecomet.org/","https://purplecomet.org/"
"Georgia Tech High School Math Day (HSMD)","Econ","In-Person","USA","Regional","2026-03-07","Georgia Tech's HSMD is the most significant math competition in the Southeastern United States, attracting talent from several states. It is prestigious for its association with the Georgia Institute of Technology and its dual format of multiple-choice and proof-based rounds. Winning here is a major credential for students applying to elite engineering programs.","Multiple Choice Round -> Proof-Based Ciphering Round -> Awards.","High school students in the Southeast US.","1. Register online via Georgia Tech portal. 2. Pay registration fee. 3. Attend competition in Atlanta.","math|GeorgiaTech|engineering|regional","https://hsmd.math.gatech.edu/","https://hsmd.math.gatech.edu/"
"Univ Alabama Math Tournament","Econ","In-Person","USA","Regional","2026-02-01","The University of Alabama Math Tournament is a long-standing tradition (over 40 years) that serves as a cornerstone of competitive math in the South. It is prestigious for its history and its focus on the 'Ciphering Match,' a high-speed live problem-solving event. It draws the best teams from Alabama and neighboring states to compete for top rankings.","Comprehensive Written Exam -> Team Ciphering Match (Live).","High school students; Teams of 4.","1. School registers via UA Math Dept. 2. Pay tournament fee. 3. Attend event in Tuscaloosa.","math|Alabama|ciphering|team","https://math.ua.edu/","https://math.ua.edu/"
"College of Charleston Math Meet","Econ","In-Person","USA","Regional","2026-02-06","The College of Charleston Math Meet is a prestigious multi-format event known for its longevity and its unique integration of various competition styles. It is interesting for its inclusion of 'timed sprints' and written exams, offering a well-rounded challenge for different types of mathematical thinkers. The meet has been a regional favorite for decades.","Timed Sprints -> Individual Written Exam -> Team Competition.","High school students; US residents.","1. Register online by Feb 6. 2. Prepare for multi-format rounds. 3. Compete in Charleston on Feb 21.","math|Charleston|SouthCarolina|sprint","https://mathmeet.cofc.edu/","https://mathmeet.cofc.edu/"
"American Invitational Mathematics Examination II (AIME II)","Econ","In-Person","USA","National","2026-02-11","AIME II is the alternate date for the American Invitational Mathematics Examination, providing the same high-level challenge for students with scheduling conflicts. It is equally prestigious as AIME I and follows the same rigorous format, serving as the final filter for the USAMO and USAJMO. Success on the AIME II is a hallmark of elite high school mathematical ability.","15 short-answer questions in 3 hours; No calculators.","Qualifiers from AMC 10/12 A or B with scheduling conflict.","1. Qualify via AMC 10/12. 2. Register for AIME II via test center. 3. Take proctored exam.","math|high-school|invitational|USA-Olympiad","https://maa.org/amcreg/","https://maa.org/student-programs/amc/"
"USA Junior Mathematical Olympiad (USAJMO)","Econ","In-Person","USA","National","2026-03-21","The USAJMO is the premier proof-based math competition for younger high schoolers (AMC 10 qualifiers). it is prestigious for its extreme difficulty, as it identifies the future stars of the IMO team through nine hours of rigorous proofs over two days. Selection for the USAJMO is one of the highest individual academic honors a student in the 10th grade or below can achieve.","9-hour proof-based exam over two days; 6 problems.","AMC 10 and AIME qualifiers (Grade 10 and below).","1. Achieve qualifying AMC 10 + AIME index score. 2. Receive invitation. 3. Take two-day exam at registered center.","math|olympiad|proof|junior|MAA","https://maa.org/amcreg/","https://maa.org/student-programs/amc/"
"USA Mathematical Olympiad (USAMO)","Econ","In-Person","USA","National","2026-03-21","The USAMO is the ultimate domestic mathematics competition in the United States, selecting the training camp participants for the International Mathematical Olympiad. It is exceptionally prestigious, consisting of six incredibly difficult proof-based problems over nine hours. Being a USAMO qualifier is a rare distinction that signals a student is among the top 250 mathematicians in the country.","9-hour proof-based exam over two days; 6 problems.","AMC 12 and AIME qualifiers (Grade 12 and below).","1. Achieve qualifying AMC 12 + AIME index score. 2. Receive invitation. 3. Take two-day exam at registered center.","math|olympiad|proof|senior|MAA","https://maa.org/amcreg/","https://maa.org/student-programs/amc/"
"Canadian Chemistry Contest (CCC)","Econ","In-Person","Canada","National","2026-04-13","The CCC is the flagship chemistry competition for high school students in Canada, designed to identify talent for the International Chemistry Olympiad. It is prestigious for its high technical standards and its coverage of advanced physical, organic, and analytical chemistry. Success here is a key factor in admission to top Canadian science and engineering programs.","Multiple choice and written problem sets.","High school students in Canada.","1. Register via the Chemical Institute of Canada. 2. Pay registration fee. 3. Take exam on April 22.","chemistry|Canada|olympiad|science","https://www.cheminst.ca/","https://www.cheminst.ca/"
"USA Astronomy and Astrophysics Olympiad (National)","Econ","In-Person","USA","National","2026-04-01","The National Astronomy Competition is the second and final round of the US selection process for the international olympiad. It is prestigious for its focus on data-heavy astrophysical problems and celestial mechanics at a collegiate level. The top scorers from this round are invited to the elite training camp to represent the United States globally.","Proof-based problems and data analysis exam.","Top qualifiers from USAAAO First Round.","1. Qualify through first-round exam. 2. Receive invitation to NAC. 3. Attend national competition in April.","astronomy|astrophysics|olympiad|elite","https://usaaao.org/","https://usaaao.org/"
"MathWorks Math Modeling (M3) Challenge Finals","Econ","In-Person","USA","National","2026-04-01","The M3 Challenge Finals bring together the top teams from the 14-hour national modeling round for a live defense in New York City. It is prestigious for its simulation of professional quantitative consulting, with students presenting their models to a panel of Ph.D. mathematicians. The event awards significant scholarships and provides students with elite networking opportunities.","Presentation and Oral Defense of 14-hour model.","Top 6 national qualifying teams from M3 Challenge.","1. Submit top-tier model in February round. 2. Receive invitation to finals. 3. Present work in NYC.","math|modeling|NYC|scholarship|consulting","https://m3challenge.siam.org/","https://m3challenge.siam.org/"
"VEX Robotics World Championship (St. Louis)","Econ","In-Person","Global","International","2026-04-21","The VEX World Championship is the largest robotics competition in the world, with the 2026 event moving to a prestigious new location in St. Louis. It is interesting for its high-intensity matches and the collaborative 'alliance' system that forces teams from different countries to work together. Winning here is the ultimate achievement in middle and high school engineering and autonomous programming.","Regional Qualifier -> Divisional Playoffs -> Round Robin -> Finals.","Middle and High School students; Qualification via state/regional event.","1. Win at a state or regional V5RC event. 2. Register for Worlds via RECF. 3. Compete in St. Louis in April.","robotics|VEX|engineering|StLouis|global","https://recf.org/vex_worlds/","https://recf.org/vex_worlds/"
